"Accounts","Sąskaitos"
"Active","Aktyvuotas"
"Additional Bank Account","Papildoma banko sąskaita"
"Bank Search","Banko paieška"
"Bank/Card Name","Banko/kortelės pavadinimas"
"Company Bank Account","Įmonės banko sąskaita"
"Company Name","Įmonės pavadinimas"
"Country List","Šalių sąrašas"
"Default Bank Account","Numatytoji banko sąskaita"
"Email Settings","El. pašto nustatymai"
"Enabled","Įjungta"
"Extra Settings","Papildomi nustatymai"
"Invoice After Payment","Sąskaita faktūra po apmokėjimo"
"List of Payments","Mokėjimo būdų sąrašas"
"New Order After Payment","Laiškas dėl naujo užsakymo (po apmokėjimo)"
"New Order Before Payment","Laiškas dėl naujo užsakymo (prieš apmokėjimą)"
"New Order Status","Naujo užsakymo būsena"
"Order","Užsakymas"
"Payment from Applicable Countries","Mokėjimas iš pasirinktų šalių"
"Payment initiation was cancelled. Please try again.","Mokėjimo inicijavimas buvo atšauktas. Bandykite dar kartą."
"Payment List Manual Update","Mokėjimų sąrašo rankinis atnaujinimas"
"Payment methods","Mokėjimo būdai"
"Please agree with kevin payment terms.","Prašome sutikti su kevin mokėjimo sąlygomis."
"Please select payment method.","Pasirinkite mokėjimo būdą."
"Redirect Preferred","Pageidaujamas nukreipimas į banką"
"Search for a bank...","Banko paieška..."
"Select bank country","Pasirinkite banko šalį"
"Send invoice email after payment","Po apmokėjimo siųskite sąskaitos faktūros el. laišką"
"Send order confirmation email after payment","Siųsti užsakymo patvirtinimo el. laišką po apmokėjimo"
"Send order confirmation email before payment","Siųsti užsakymo patvirtinimo el. laišką prieš mokėjimą"
"Show all available payment methods separately in checkout","Atskirai rodyti visus galimus mokėjimo būdus atsiskaitymo puslapyje"
"Show country list on checkout page","Rodyti šalių sąrašą atsiskaitymo puslapyje"
"Show name below the payment logo","Rodyti pavadinimą po mokėjimo logotipu"
"Show payment method search on checkout page","Rodyti mokėjimo būdo paiešką atsiskaitymo puslapyje"
"Something went wrong, please try again later","Įvyko nenumatyta klaida, bandykite dar kartą vėliau"
"Sort Order","Rūšiavimo tvarka"
"Status","Būsena:"
"Thank you for your payment. Your transaction has been completed and a receipt for your purchase has been emailed to you.","Ačiū už jūsų mokėjimą. Jūsų mokėjimas buvo sėkmingai įvykdytas, o mokėjimo informacija išsiųsta jūsų el. pašto adresu."
"Title","Pavadinimas"
"Tpp can specify this param to skip all possible kevin. parts and make user payment confirm flow mostly on the bank side.","TPP gali nurodyti šį parametrą, kad praleistų visus galimus kevin. ekranus. Mokėjimo patvirtinimas daugiausia vyks banko pusėje."
"Unauthorized","Neautorzuotas"
"Unfortunately, your order cannot be processed as the originating bank has declined your transaction. Please attempt your purchase again.","Deja, jūsų užsakymas negali būti apdorotas, nes bankas atmetė jūsų operaciją. Bandykite pirkti dar kartą."
"Version","Versija"
"We will start executing the order only after receiving the payment.","Užsakymą pradėsime vykdyti tik gavę mokėjimą."
"Wrong payment request","Neteisinga mokėjimo užklausa"
"Your Endpoint Secret. You can get it in kevin. dashboard.","Jūsų Endpoint Secret iš kevin. kliento paskyros."
"Country","Šalis"
"Bank","Bankas"
"Bank Account","Banko sąskaita"
"Action","Veiksmas"
"Update Now","Atnaujinti dabar"
"Last Update","Paskutinis atnaujinimas"
"Updated","Atnaujinta"
"Credit/Debit card","Kreditinė/debetinė kortelė"
"Please select a payment method.","Pasirinkite mokėjimo būdą."
"I have read and agree with the <a href=""%1"" target=""_blank"">payment terms</a> and <a href=""%2"" target=""_blank"">privacy policy</a> of Kevin EU, UAB","Perskaičiau ir sutinku su kevin EU, UAB <a href=""%1"" target=""_blank"">mokėjimo sąlygomis</a> ir <a href=""%2"" target=""_blank"">privatumo politika</a>."
"Add","Pridėti"
